order	year	month	units
277	1991	1	2890
278	1991	2	3080
279	1991	3	3160
280	1991	4	3260
281	1991	5	3450
282	1991	6	3450
283	1991	7	3280
284	1991	8	3250
285	1991	9	3200
286	1991	10	3170
287	1991	11	3210
288	1991	12	3240
289	1992	1	3270
290	1992	2	3510
291	1992	3	3590
292	1992	4	3520
293	1992	5	3430
294	1992	6	3390
295	1992	7	3430
296	1992	8	3420
297	1992	9	3420
298	1992	10	3660
299	1992	11	3760
300	1992	12	3870
301	1993	1	3720
302	1993	2	3580
303	1993	3	3440
304	1993	4	3510
305	1993	5	3650
306	1993	6	3750
307	1993	7	3860
308	1993	8	3880
309	1993	9	3960
310	1993	10	3980
311	1993	11	4030
312	1993	12	4260
313	1994	1	4050
314	1994	2	3960
315	1994	3	4140
316	1994	4	4060
317	1994	5	4090
318	1994	6	3990
319	1994	7	3740
320	1994	8	3870
321	1994	9	3850
322	1994	10	3660
323	1994	11	3740
324	1994	12	3840
325	1995	1	3710
326	1995	2	3650
327	1995	3	3770
328	1995	4	3300
329	1995	5	3730
330	1995	6	3950
331	1995	7	3820
332	1995	8	4200
333	1995	9	4120
334	1995	10	4100
335	1995	11	4160
336	1995	12	4010
337	1996	1	4100
338	1996	2	4210
339	1996	3	4160
340	1996	4	4340
341	1996	5	4400
342	1996	6	4030
343	1996	7	4300
344	1996	8	4240
345	1996	9	4030
346	1996	10	4180
347	1996	11	4180
348	1996	12	4130
349	1997	1	4340
350	1997	2	4280
351	1997	3	4060
352	1997	4	4190
353	1997	5	4350
354	1997	6	4210
355	1997	7	4370
356	1997	8	4430
357	1997	9	4560
358	1997	10	4700
359	1997	11	4390
360	1997	12	4640
361	1998	1	4660
362	1998	2	4820
363	1998	3	4950
364	1998	4	4950
365	1998	5	4880
366	1998	6	4940
367	1998	7	5110
368	1998	8	4850
369	1998	9	5000
370	1998	10	5060
371	1998	11	5020
372	1998	12	5330
373	1999	1	5150
374	1999	2	5090
375	1999	3	5240
376	1999	4	5300
377	1999	5	5060
378	1999	6	5450
379	1999	7	5340
380	1999	8	5290
381	1999	9	5160
382	1999	10	4960
383	1999	11	5130
384	1999	12	5160
385	2000	1	5030
386	2000	2	5320
387	2000	3	5240
388	2000	4	4980
389	2000	5	5190
390	2000	6	5180
391	2000	7	4820
392	2000	8	5240
393	2000	9	5160
394	2000	10	5070
395	2000	11	5300
396	2000	12	4940
397	2001	1	5200
398	2001	2	5190
399	2001	3	5430
400	2001	4	5220
401	2001	5	5360
402	2001	6	5330
403	2001	7	5170
			
			
			
			
			
			
			
			
			
			
			
			


